Source,Target,Type
0.0.0.1,1.1.0.0,Directed
0.0.0.1,1.1.0.0,Directed
0.0.0.10,1.21.0.0,Directed
0.0.0.10,1.21.0.0,Directed
0.0.0.100,1.55.0.0,Directed
0.0.0.100,1.55.0.0,Directed
0.0.0.101,1.57.0.0,Directed
0.0.0.101,1.57.0.0,Directed
0.0.0.102,1.55.0.0,Directed
0.0.0.102,1.55.0.0,Directed
0.0.0.103,1.65.0.0,Directed
0.0.0.103,1.65.0.0,Directed
0.0.0.104,1.53.0.0,Directed
0.0.0.104,1.53.0.0,Directed
0.0.0.105,1.15.0.0,Directed
0.0.0.105,1.15.0.0,Directed
0.0.0.106,1.63.0.0,Directed
0.0.0.106,1.63.0.0,Directed
0.0.0.107,1.57.0.0,Directed
0.0.0.107,1.57.0.0,Directed
0.0.0.108,1.67.0.0,Directed
0.0.0.108,1.67.0.0,Directed
0.0.0.109,1.29.0.0,Directed
0.0.0.109,1.29.0.0,Directed
0.0.0.11,1.11.0.0,Directed
0.0.0.11,1.11.0.0,Directed
0.0.0.110,1.49.0.0,Directed
0.0.0.110,1.49.0.0,Directed
0.0.0.111,1.19.0.0,Directed
0.0.0.111,1.19.0.0,Directed
0.0.0.112,1.59.0.0,Directed
0.0.0.112,1.59.0.0,Directed
0.0.0.113,1.31.0.0,Directed
0.0.0.113,1.31.0.0,Directed
0.0.0.114,1.9.0.0,Directed
0.0.0.114,1.9.0.0,Directed
0.0.0.115,1.69.0.0,Directed
0.0.0.115,1.69.0.0,Directed
0.0.0.116,1.51.0.0,Directed
0.0.0.116,1.51.0.0,Directed
0.0.0.117,1.1.0.0,Directed
0.0.0.117,1.1.0.0,Directed
0.0.0.118,1.41.0.0,Directed
0.0.0.118,1.41.0.0,Directed
0.0.0.119,1.21.0.0,Directed
0.0.0.119,1.21.0.0,Directed
0.0.0.12,1.23.0.0,Directed
0.0.0.12,1.23.0.0,Directed
0.0.0.120,1.61.0.0,Directed
0.0.0.120,1.61.0.0,Directed
0.0.0.121,1.11.0.0,Directed
0.0.0.121,1.11.0.0,Directed
0.0.0.122,1.53.0.0,Directed
0.0.0.122,1.53.0.0,Directed
0.0.0.123,1.71.0.0,Directed
0.0.0.123,1.71.0.0,Directed
0.0.0.124,1.13.0.0,Directed
0.0.0.124,1.13.0.0,Directed
0.0.0.125,1.35.0.0,Directed
0.0.0.125,1.35.0.0,Directed
0.0.0.126,1.69.0.0,Directed
0.0.0.126,1.69.0.0,Directed
0.0.0.127,1.25.0.0,Directed
0.0.0.127,1.25.0.0,Directed
0.0.0.128,1.63.0.0,Directed
0.0.0.128,1.63.0.0,Directed
0.0.0.129,1.5.0.0,Directed
0.0.0.129,1.255.0.0,Directed
0.0.0.129,1.5.0.0,Directed
0.0.0.129,1.255.0.0,Directed
0.0.0.13,1.25.0.0,Directed
0.0.0.13,1.25.0.0,Directed
0.0.0.130,1.27.0.0,Directed
0.0.0.130,1.27.0.0,Directed
0.0.0.131,1.71.0.0,Directed
0.0.0.131,1.71.0.0,Directed
0.0.0.132,1.33.0.0,Directed
0.0.0.132,1.33.0.0,Directed
0.0.0.133,1.65.0.0,Directed
0.0.0.133,1.65.0.0,Directed
0.0.0.134,1.15.0.0,Directed
0.0.0.134,1.15.0.0,Directed
0.0.0.135,1.21.0.0,Directed
0.0.0.135,1.21.0.0,Directed
0.0.0.136,1.47.0.0,Directed
0.0.0.136,1.47.0.0,Directed
0.0.0.137,1.75.0.0,Directed
0.0.0.137,1.75.0.0,Directed
0.0.0.138,1.37.0.0,Directed
0.0.0.138,1.37.0.0,Directed
0.0.0.139,1.29.0.0,Directed
0.0.0.139,1.29.0.0,Directed
0.0.0.14,1.5.0.0,Directed
0.0.0.14,1.5.0.0,Directed
0.0.0.140,1.7.0.0,Directed
