cntry,asn,Frequency
AD,6752,28
AE,12653,321
AE,15802,12762
AE,23649,174
AE,30981,1130
AE,43395,1
AE,44703,57
AE,50030,6920
AE,5384,1910
AF,15641,23
AF,2.212,63
AF,23649,109
AF,24244,257
AF,24399,23
AF,30721,19
AF,30981,179
AF,38056,34
AF,38742,27
AF,45521,10
AF,45790,41
AF,5377,2
AF,5432,6
AF,55330,1184
AF,6866,57
AF,7494,22
AF,7700,62
AF,9229,498
AG,11139,66
AI,11139,4
AI,2740,4
AL,21183,7408
AL,21246,32930
AL,29170,4729
AL,29238,779
AL,3.23,91
AL,3.559,164
AL,33924,1529
AL,35047,9048
AL,35444,94
AL,39611,2172
AL,42313,39340
AL,47394,2147
AL,48265,736
AL,50616,226
AL,50973,27
AL,52073,768
AL,6762_42313,14
AM,12297,15694
AM,16190,107
AM,21104,134
AM,33852,1548
AM,34083,334
AM,39863,1
AM,41965,1106
AM,42109,1662
AM,42991,283
AM,43733,3198
AM,44153,40
AM,44395,1848
AM,47623,68
AM,47975,672
AM,48008,104
AM,48110,136
AM,48111,70
AM,48333,13
AM,48861,29
AM,49363,100
AM,49392,32
AM,49470,106
AM,49800,811
AM,50623,79
AM,51693,282
AM,8226,1095
AM,8932,481
AN,16422,2
AN,23541,50
AN,27734,4
AN,27745,73
AN,27781,1
AN,52233,6
AN,9751,8
AO,11259,322
AO,17400,6
AO,32717,688
AO,36881,207
AO,36907,3119
AO,36917,162
AO,37011,103
AO,37081,718
AO,37119,633
AO,37155,1352
AO,5377,61
AO,8513,15
AO,8657,9
AP,10026,95
AP,18052,94
AR,10318,10946
AR,10481,12679
AR,10617,126
AR,10697,119
AR,10834,1714
AR,11008,192
AR,11014,212
AR,11193,6
AR,11311,21
AR,11315,2458
AR,11664,5412
AR,11815,476
AR,12150,66
AR,12956,1225
AR,13316,22
AR,13585,195
AR,14232,38
AR,16814,2107
AR,17069,185
AR,17401,528
AR,18747,97
AR,19037,5873
AR,19889,297
AR,20207,1480
AR,21575,1
AR,22080,328
AR,22501,147
AR,22927,120911
AR,26593,37
AR,26608,120
AR,27691,203
AR,27747,3449
AR,27751,36
AR,27754,22
AR,27756,5
AR,27787,15
AR,27792,21
AR,27813,813
AR,27818,38
AR,27822,103
AR,27827,28
AR,27833,560
AR,27851,18
AR,27870,76
AR,27877,62
AR,27879,291
AR,27881,376
AR,27927,165
AR,27934,28
AR,27940,4
