3let,time,lat,long,src_id,Frequency
AFG,2011-01-31,33.0,65.0,0.0.20.162,582
AFG,2011-02-01,33.0,65.0,0.0.20.162,33071
AFG,2011-02-02,33.0,65.0,0.0.20.162,63801
AFG,2011-02-03,33.0,65.0,0.0.20.162,28044
AFG,2011-02-04,33.0,65.0,0.0.162.245,19024
AFG,2011-02-05,33.0,65.0,0.0.20.162,60565
AFG,2011-02-06,33.0,65.0,0.0.20.162,35912
AFG,2011-02-07,33.0,65.0,0.8.237.43,792
AFG,2011-02-08,33.0,65.0,0.8.237.43,264
AFG,2011-02-11,33.0,65.0,0.0.20.162,13295
AFG,2011-02-12,33.0,65.0,0.0.20.162,83833
AGO,2011-01-31,-8.8383,13.2344,0.0.16.40,3724
AGO,2011-02-01,-8.8383,13.2344,0.0.16.40,72702
AGO,2011-02-02,-8.8383,13.2344,0.0.16.40,65444
AGO,2011-02-03,-8.8383,13.2344,0.0.16.40,72244
AGO,2011-02-04,-8.8383,13.2344,0.0.16.40,104479
AGO,2011-02-05,-8.8383,13.2344,0.0.16.40,74612
AGO,2011-02-06,-8.8383,13.2344,0.0.16.40,45587
AGO,2011-02-07,-8.8383,13.2344,0.0.99.221,13432
AGO,2011-02-08,-8.8383,13.2344,0.15.160.201,5749
AGO,2011-02-11,-8.8383,13.2344,0.0.16.40,49266
AGO,2011-02-12,-8.8383,13.2344,0.0.16.40,50189
ALB,2011-01-31,41.0,20.0,0.0.0.11,1388614
ALB,2011-02-01,41.0,20.0,0.0.0.11,6330318
ALB,2011-02-02,41.0,20.0,0.0.0.11,5415246
ALB,2011-02-03,41.0,20.0,0.0.0.11,5951257
ALB,2011-02-04,41.0,20.0,0.0.0.11,9350296
ALB,2011-02-05,41.0,20.0,0.0.0.11,7505299
ALB,2011-02-06,41.0,20.0,0.0.0.11,4694251
ALB,2011-02-07,41.0,20.0,0.0.0.68,454454
ALB,2011-02-08,41.0,20.0,0.0.0.68,225749
ALB,2011-02-09,41.0,20.0,0.0.1.84,108259
ALB,2011-02-10,41.0,20.0,0.0.1.198,41505
ALB,2011-02-11,41.0,20.0,0.0.0.11,7266102
ALB,2011-02-12,41.0,20.0,0.0.0.11,5729026
AND,2011-02-03,42.5,1.5333,0.14.15.187,54
AND,2011-02-04,42.5,1.5333,0.14.15.187,18
AND,2011-02-05,42.5,1.5333,0.14.15.187,36
