dst_ip,Frequency
1.0.1.0,20
1.0.103.1,6
1.0.12.1,6
1.0.14.0,6
1.0.15.0,6
1.0.17.0,6
1.0.187.1,6
1.0.188.1,6
1.0.193.1,6
1.0.197.1,6
1.0.238.13,6
1.0.24.0,6
1.0.25.0,6
1.0.254.123,10
1.0.5.0,6
1.0.84.11,6
1.0.87.11,6
1.0.89.11,6
1.0.94.11,6
1.1.0.0,17
1.1.1.0,20
1.1.14.0,6
1.1.16.0,6
1.1.187.1,6
1.1.188.1,6
1.1.193.1,6
1.1.194.1,6
1.1.195.1,6
1.1.21.0,6
1.1.23.0,6
1.1.26.0,6
1.1.28.0,6
1.1.3.0,6
1.1.4.0,6
1.1.84.11,6
1.1.89.11,6
1.1.9.0,6
1.1.94.11,6
1.10.1.0,23
1.10.110.11,6
1.10.15.0,6
1.10.187.1,6
1.10.188.1,6
1.10.19.0,6
1.10.190.1,6
1.10.191.1,6
1.10.2.0,6
1.10.26.1,6
1.10.30.0,6
1.10.7.0,6
1.10.84.11,6
1.10.87.11,6
1.10.9.0,6
1.10.92.1,6
1.10.92.11,6
1.100.10.0,6
1.100.12.0,6
1.100.130.13,6
1.100.188.1,6
1.100.189.1,6
1.100.191.1,6
1.100.193.1,6
1.100.196.1,6
1.100.236.132,8
1.100.24.0,6
1.100.25.0,6
1.100.27.0,6
1.100.89.11,6
1.100.94.11,6
1.101.0.0,19
1.101.11.0,6
1.101.135.13,6
1.101.16.0,6
1.101.170.175,18
1.101.187.1,6
1.101.188.1,6
1.101.189.1,6
1.101.19.0,6
1.101.190.1,6
1.101.192.1,6
1.101.193.1,6
1.101.21.0,6
1.101.29.0,6
1.101.3.0,6
1.101.30.0,7
1.101.4.0,6
1.101.83.11,6
1.101.89.11,6
1.101.9.0,6
1.101.93.11,6
1.102.107.0,6
1.102.17.0,6
1.102.188.1,6
1.102.189.1,6
1.102.190.1,6
1.102.191.1,6
1.102.196.1,6
1.102.198.1,6
1.102.2.0,6
1.102.213.0,6
1.102.218.3,8
1.102.28.0,6
1.102.5.1,6
1.102.7.0,6
1.102.83.11,6
1.102.87.11,6
1.103.0.0,18
1.103.1.0,6
1.103.1.3,6
1.103.11.0,6
1.103.12.0,6
1.103.14.0,6
1.103.168.222,114
1.103.184.1,6
1.103.187.1,6
1.103.188.1,6
1.103.190.1,6
1.103.192.1,6
1.103.193.1,6
1.103.194.1,6
1.103.196.1,6
1.103.197.1,6
1.103.21.0,6
1.103.22.0,6
1.103.26.0,6
1.103.37.15,8
1.103.6.0,6
1.103.7.0,6
1.103.84.11,6
1.103.86.11,6
1.103.87.11,6
1.103.89.11,6
1.103.92.11,6
1.104.150.1,6
1.104.163.0,6
1.104.187.1,6
