time,src_id,cntry,asn,src_port,dst_ip
1/31/2011 21:08,0.0.0.11,AL,21246,4342,1.11.0.0
1/31/2011 21:09,0.0.0.68,AL,42313,2714,1.21.0.0
1/31/2011 21:11,0.0.0.217,AL,35047,1490,1.81.0.0
1/31/2011 21:12,0.0.1.84,AL,39611,2548,1.57.0.0
1/31/2011 21:14,0.0.1.198,AL,21246,2876,1.212.0.0
1/31/2011 21:15,0.0.2.91,AL,42313,4018,1.241.0.0
1/31/2011 21:15,0.0.2.96,AL,21246,4515,1.242.0.0
1/31/2011 21:16,0.0.2.186,AL,29170,1319,1.6.1.0
1/31/2011 21:17,0.0.4.5,AL,35047,1293,1.65.1.0
1/31/2011 21:18,0.0.5.66,AL,42313,2002,1.8.1.0
1/31/2011 21:18,0.0.5.140,AL,29238,3357,1.82.1.0
1/31/2011 21:19,0.0.5.175,AL,42313,1610,1.55.1.0
1/31/2011 21:19,0.0.5.206,AL,42313,3947,1.46.1.0
1/31/2011 21:20,0.0.6.34,AL,21246,1671,1.84.1.0
1/31/2011 21:21,0.0.2.91,AL,42313,4044,1.50.1.0
1/31/2011 21:21,0.0.6.202,AL,21246,4428,1.71.1.0
1/31/2011 21:21,0.0.7.35,AL,21246,2828,1.243.0.0
1/31/2011 21:09,0.0.0.95,AM,47975,4364,1.33.0.0
1/31/2011 21:14,0.0.1.185,AM,8932,17008,1.207.0.0
1/31/2011 21:14,0.0.1.242,AM,49363,2673,1.210.0.0
1/31/2011 21:16,0.0.2.238,AM,43733,58888,1.15.1.0
1/31/2011 21:19,0.0.5.151,AM,12297,4602,1.27.1.0
1/31/2011 21:23,0.0.9.164,AM,49363,2074,1.5.1.0
1/31/2011 21:23,0.0.10.30,AM,47975,1855,1.117.0.0
1/31/2011 21:08,0.0.0.28,AR,10834,4355,1.27.0.0
1/31/2011 21:10,0.0.0.106,AR,22927,2046,1.63.0.0
1/31/2011 21:10,0.0.0.171,AR,11664,49556,1.67.0.0
1/31/2011 21:11,0.0.0.206,AR,22927,47225,1.67.0.0
1/31/2011 21:12,0.0.1.16,AR,22927,1761,1.91.0.0
1/31/2011 21:12,0.0.1.85,AR,10617,22941,1.75.0.0
1/31/2011 21:14,0.0.1.172,AR,7303,4411,1.163.0.0
1/31/2011 21:14,0.0.1.175,AR,22927,2161,1.202.0.0
1/31/2011 21:15,0.0.2.11,AR,7303,34953,1.237.0.0
1/31/2011 21:15,0.0.2.18,AR,10318,28465,1.221.0.0
1/31/2011 21:15,0.0.2.139,AR,22927,17158,1.244.0.0
1/31/2011 21:15,0.0.2.140,AR,7303,2979,1.216.0.0
1/31/2011 21:16,0.0.2.190,AR,16814,2107,1.171.0.0
1/31/2011 21:16,0.0.2.197,AR,22927,4446,1.243.0.0
1/31/2011 21:16,0.0.2.237,AR,22927,13519,1.244.0.0
1/31/2011 21:16,0.0.3.3,AR,22927,60177,1.227.0.0
1/31/2011 21:16,0.0.3.42,AR,52251,2496,1.192.0.0
1/31/2011 21:16,0.0.3.108,AR,7303,1922,1.204.0.0
1/31/2011 21:16,0.0.3.113,AR,22927,2737,1.230.0.0
1/31/2011 21:17,0.0.3.165,AR,3549,1344,1.47.1.0
1/31/2011 21:17,0.0.3.193,AR,22927,16005,1.231.0.0
1/31/2011 21:17,0.0.3.225,AR,7303,43621,1.205.0.0
1/31/2011 21:17,0.0.4.88,AR,7303,3220,1.40.1.0
1/31/2011 21:18,0.0.5.4,AR,10481,2899,1.13.1.0
1/31/2011 21:18,0.0.2.18,AR,10318,28749,1.35.1.0
1/31/2011 21:18,0.0.5.123,AR,3549,3521,1.2.1.0
1/31/2011 21:19,0.0.5.204,AR,7303,2176,1.45.1.0
1/31/2011 21:19,0.0.5.209,AR,22080,2984,1.28.1.0
1/31/2011 21:20,0.0.6.17,AR,10318,4590,1.39.1.0
1/31/2011 21:20,0.0.6.25,AR,7303,3762,1.42.1.0
1/31/2011 21:21,0.0.6.102,AR,7303,50099,1.87.1.0
1/31/2011 21:21,0.0.6.109,AR,22927,2675,1.97.0.0
1/31/2011 21:21,0.0.6.131,AR,22927,33529,1.117.0.0
1/31/2011 21:21,0.0.1.16,AR,22927,2183,1.229.0.0
1/31/2011 21:21,0.0.7.44,AR,22927,29881,1.11.0.0
1/31/2011 21:22,0.0.8.152,AR,22927,3013,1.6.1.0
1/31/2011 21:23,0.0.9.193,AR,3549,56811,1.45.1.0
1/31/2011 21:24,0.0.12.123,AR,10481,34866,1.35.0.0
1/31/2011 21:17,0.0.3.170,AT,6830_8514,2157,1.70.1.0
1/31/2011 21:23,0.0.9.220,AT,8447,51904,1.80.1.0
1/31/2011 21:21,0.0.6.96,AU,1221,4893,1.246.0.0
1/31/2011 21:08,0.0.0.33,BA,35567,55539,1.9.0.0
1/31/2011 21:09,0.0.0.54,BA,9146,4326,1.21.0.0
1/31/2011 21:12,0.0.1.72,BA,25144,3589,1.101.0.0
1/31/2011 21:15,0.0.2.150,BA,42432,2272,1.218.0.0
1/31/2011 21:16,0.0.2.165,BA,25144,2887,1.6.1.0
1/31/2011 21:17,0.0.3.243,BA,9146,3415,1.81.1.0
1/31/2011 21:17,0.0.4.1,BA,9146,2001,1.26.1.0
1/31/2011 21:17,0.0.4.28,BA,9146,1910,1.68.1.0
1/31/2011 21:18,0.0.5.88,BA,9119,2962,1.51.1.0
1/31/2011 21:09,0.0.0.64,BD,24323,56077,1.39.0.0
1/31/2011 21:12,0.0.1.37,BD,45951,51659,1.63.0.0
1/31/2011 21:15,0.0.2.5,BE,6848,62733,1.218.0.0
1/31/2011 21:24,0.0.12.121,BE,25395,54694,1.15.0.0
1/31/2011 21:08,0.0.0.16,BG,29687,3767,1.27.0.0
1/31/2011 21:13,0.0.1.96,BG,42735,1783,1.51.0.0
1/31/2011 21:15,0.0.2.32,BG,44309,3025,1.243.0.0
1/31/2011 21:15,0.0.2.47,BG,47624,4004,1.211.0.0
1/31/2011 21:15,0.0.2.60,BG,8866,1940,1.233.0.0
1/31/2011 21:16,0.0.3.141,BG,20911,3911,1.245.0.0
1/31/2011 21:17,0.0.3.176,BG,39388,56452,1.71.1.0
1/31/2011 21:18,0.0.5.35,BG,43561,1510,1.19.1.0
1/31/2011 21:18,0.0.5.92,BG,41313,4755,1.32.1.0
1/31/2011 21:19,0.0.5.153,BG,8866,3811,1.65.1.0
1/31/2011 21:23,0.0.10.89,BG,12829,1564,1.197.0.0
1/31/2011 21:09,0.0.0.94,BH,5416,2460,1.33.0.0
1/31/2011 21:14,0.0.1.181,BH,51375,4586,1.198.0.0
1/31/2011 21:16,0.0.2.214,BJ,28683,3466,1.230.0.0
1/31/2011 21:18,0.0.4.229,BJ,28683,1298,1.26.1.0
1/31/2011 21:12,0.0.1.26,BO,27839,50092,1.89.0.0
1/31/2011 21:12,0.0.1.39,BO,26210,2927,1.83.0.0
1/31/2011 21:14,0.0.1.245,BO,6568,56800,1.211.0.0
1/31/2011 21:17,0.0.3.186,BO,6568,1530,1.254.0.0
1/31/2011 21:17,0.0.3.205,BO,26210,3571,1.58.1.0
1/31/2011 21:18,0.0.4.220,BO,25620,3929,1.207.0.0
1/31/2011 21:18,0.0.5.3,BO,26210,29766,1.231.0.0
1/31/2011 21:19,0.0.1.245,BO,6568,61077,1.75.1.0
1/31/2011 21:22,0.0.7.231,BO,6568,4593,1.254.0.0
1/31/2011 21:08,0.0.0.10,BR,7738,1715,1.21.0.0
1/31/2011 21:08,0.0.0.20,BR,8167,3642,1.29.0.0
1/31/2011 21:08,0.0.0.29,BR,4230,58642,1.31.0.0
1/31/2011 21:08,0.0.0.38,BR,7738,2223,1.37.0.0
1/31/2011 21:08,0.0.0.40,BR,27699,34614,1.29.0.0
1/31/2011 21:08,0.0.0.43,BR,8167,1228,1.7.0.0
1/31/2011 21:08,0.0.0.44,BR,8167,10838,1.23.0.0
1/31/2011 21:09,0.0.0.50,BR,18881,10228,1.23.0.0
1/31/2011 21:09,0.0.0.53,BR,7738,18132,1.45.0.0
1/31/2011 21:09,0.0.0.58,BR,7738,4789,1.37.0.0
1/31/2011 21:09,0.0.0.62,BR,7738,33420,1.39.0.0
1/31/2011 21:09,0.0.0.65,BR,8167,58270,1.19.0.0
1/31/2011 21:09,0.0.0.69,BR,27699,2628,1.41.0.0
1/31/2011 21:09,0.0.0.73,BR,4230,1532,1.13.0.0
1/31/2011 21:09,0.0.0.81,BR,7738,61620,1.37.0.0
1/31/2011 21:09,0.0.0.92,BR,18881,2468,1.49.0.0
1/31/2011 21:09,0.0.0.96,BR,8167,1286,1.35.0.0
1/31/2011 21:10,0.0.0.104,BR,16735,62083,1.53.0.0
1/31/2011 21:10,0.0.0.105,BR,16735,27484,1.15.0.0
1/31/2011 21:10,0.0.0.111,BR,7738,26805,1.19.0.0
1/31/2011 21:10,0.0.0.112,BR,8167,3395,1.59.0.0
1/31/2011 21:10,0.0.0.118,BR,8167,1153,1.41.0.0
